conf,mask_P,mask_R,mask_mAP50,mask_mAP50_95,box_P,box_R,box_mAP50_95
0.1,0.7846926886519708,0.7086251718989174,0.7031885253981196,0.5436185531060378,0.79328911408314,0.7143008056664092,0.570223601289308
0.25,0.7846926886519708,0.7086251718989174,0.680137450903529,0.5305280269493945,0.79328911408314,0.7143008056664092,0.5553899770864612
0.4,0.7861057181546957,0.7087251172208582,0.6573666842180618,0.5191901947430514,0.7943661931241132,0.7148890945991866,0.5411130976931264
0.5,0.822839985567989,0.6753155952000265,0.6313988821609365,0.5084005724545696,0.8334917779733885,0.6817085103072925,0.5281802452842401
0.6,0.8477139722743358,0.6379675279833393,0.6046506111036419,0.4940053985720622,0.8586493226021908,0.6433150932365171,0.5117260501317697
0.7,0.8806086216881105,0.597541014394528,0.5728249254960243,0.4778822425254968,0.8904498346010182,0.6012342782052688,0.4932303943499083
0.8,0.8845882205574619,0.5242265854846712,0.5077845553126853,0.44355408749444647,0.9119022865384793,0.5290598908736448,0.4539951541506054
0.85,0.9072415679436552,0.47340197299005204,0.4622090851635709,0.4173600780301691,0.9417010274031147,0.476455769476052,0.4240728684555746
0.9,0.9097069597069597,0.3990929226991809,0.39531764427817057,0.368586257359629,0.9791514041514041,0.4012050995994933,0.37193814366886446
